player_name,player_number,count,avg(spi_score),matches_scaled,spi_scaled,euclidean_distance
Ricard Puig,10,23,8.382608695652175,0.7931034482758621,0.979,0.20795957086736563
Gabriel Pec,11,24,8.0125,0.8275862068965517,0.624,0.4136453989255999
Lionel Messi,10,16,8.1125,0.5517241379310345,0.706,0.5360851131244686
Evander Ferreira,10,14,8.264285714285714,0.4827586206896552,0.85,0.5385523600086327
Juan Hernández,9,20,7.919999999999999,0.6896551724137931,0.555,0.5425301023994082
Albert Rusnak,11,26,7.742307692307692,0.896551724137931,0.442,0.5675081900544121
Kelvin Yeboah,9,16,8.04375,0.5517241379310345,0.648,0.569960742958385
Mateusz Bogusz,19,24,7.7124999999999995,0.8275862068965517,0.426,0.5993350615910259
Dejan Joveljic,9,22,7.736363636363635,0.7586206896551724,0.439,0.6107249556572455
Denis Bouanga,99,26,7.615384615384615,0.896551724137931,0.375,0.6335033905030302
Stefan Frei,24,28,7.567857142857142,0.9655172413793104,0.352,0.6489168364606459
Facundo Torres,10,23,7.6304347826086945,0.7931034482758621,0.383,0.6507650752117379
Jordi Alba,18,19,7.694736842105264,0.6551724137931034,0.416,0.6782050310999431
Jordan Morris,13,26,7.488461538461538,0.896551724137931,0.317,0.6907897985486141
Cristian Roldan,7,28,7.460714285714287,0.9655172413793104,0.306,0.6948561438471222
Christian Benteke,20,19,7.652631578947367,0.6551724137931034,0.394,0.6972388860421331
Carlos Miguel,31,20,7.615,0.6896551724137931,0.375,0.6978100830523392
Joseph Paintsil,28,20,7.600000000000001,0.6896551724137931,0.368,0.7040865799101077
Luis Suárez,9,17,7.717647058823529,0.5862068965517241,0.429,0.7051707115736979
Yeimar Gomez,28,27,7.433333333333333,0.9310344827586207,0.294,0.7093604461544011
Emil Forsberg,10,15,7.793333333333333,0.5172413793103449,0.473,0.7146921615983894
Obed Vargas,18,29,7.351724137931036,1.0,0.264,0.736
Kristijan Kahlina,1,23,7.421739130434782,0.7931034482758621,0.29,0.7395310562209939
Jackson Ragen,25,29,7.317241379310345,1.0,0.252,0.748
Luca Orellano,23,18,7.566666666666667,0.6206896551724138,0.352,0.7508530733061045
Nouhou Tolo,5,22,7.413636363636363,0.7586206896551724,0.287,0.7527502716456134
Ryan Gauld,25,19,7.494736842105262,0.6551724137931034,0.32,0.7624343015691744
Alex Roldan,16,29,7.2413793103448265,1.0,0.227,0.773
Bartosz Slisz,6,22,7.331818181818182,0.7586206896551724,0.257,0.7812253013456135
Ivan Angulo,77,25,7.252000000000001,0.8620689655172413,0.23,0.7822563328433231
Braian Ojeda,6,19,7.436842105263157,0.6551724137931034,0.296,0.7839145771123756
Hany Mukhtar,10,16,7.575,0.5517241379310345,0.356,0.7846574083723892
Rafael Santos,3,25,7.231999999999999,0.8620689655172413,0.224,0.7881630353381741
Miki Yamane,2,25,7.22,0.8620689655172413,0.22,0.7921016161285647
Saba Lobzhanidze,9,20,7.345000000000001,0.6896551724137931,0.261,0.801520375292801
Kai Wagner,27,16,7.5249999999999995,0.5517241379310345,0.333,0.803641865829347
Daniel Gazdag,10,15,7.573333333333334,0.5172413793103449,0.355,0.8056555627873356
Max Arfsten,27,21,7.29047619047619,0.7241379310344828,0.243,0.8056977603878118
Dylan Nealis,12,20,7.329999999999998,0.6896551724137931,0.256,0.806132688835723
Pep Biel,10,15,7.566666666666666,0.5172413793103449,0.352,0.8080593331248507
Diego Luna,8,18,7.405555555555556,0.6206896551724138,0.284,0.8102668311693515
Luciano Acosta,10,16,7.5062500000000005,0.5517241379310345,0.325,0.8102939272348487
Hassani Dotson,31,21,7.271428571428572,0.7241379310344828,0.236,0.8122782042465104
Timothy Tillman,11,26,7.123076923076923,0.896551724137931,0.192,0.8145953263914757
Joseph Rosales,8,24,7.141666666666667,0.8275862068965517,0.197,0.8213011116833573
Paul Arriola,7,21,7.238095238095238,0.7241379310344828,0.226,0.8216908671111879
John Tolkin,47,20,7.2700000000000005,0.6896551724137931,0.236,0.8246271351401872
Paul Rothrock,14,22,7.181818181818182,0.7586206896551724,0.209,0.827009656208768
Emeka Eneli,14,19,7.305263157894736,0.6551724137931034,0.247,0.8281998938718084
Sergi Palencia,14,19,7.3,0.6551724137931034,0.246,0.82910919920676
Robin Lod,17,23,7.13913043478261,0.7931034482758621,0.197,0.8292256527118169
Maya Yoshida,4,25,7.083999999999999,0.8620689655172413,0.182,0.8295474490790048
John Nelson,14,23,7.104347826086957,0.7931034482758621,0.187,0.8389130962831245
Quinn Sullivan,33,16,7.41875,0.5517241379310345,0.289,0.8405190351881832
Pedro Gallese,1,23,7.091304347826087,0.7931034482758621,0.184,0.8418207547425633
Erik Sviatchenko,28,20,7.209999999999999,0.6896551724137931,0.217,0.8422605962583745
Santiago Rodriguez,10,22,7.122727272727272,0.7586206896551724,0.192,0.8432840396109396
Ramiro Enrique,7,22,7.118181818181818,0.7586206896551724,0.191,0.844242246906979
Edwin Cerrillo,20,25,7.024000000000001,0.8620689655172413,0.167,0.8443423300258515
Cristian Espinoza,10,17,7.3470588235294105,0.5862068965517241,0.262,0.8460902625969381
Diego Rossi,10,22,7.109090909090909,0.7586206896551724,0.189,0.8461589516530239
Aaron Herrera,22,19,7.242105263157896,0.6551724137931034,0.227,0.8464248721589381
Lewis O'Brien,8,20,7.1899999999999995,0.6896551724137931,0.211,0.8478413247828349
Karol Swiderski,9,16,7.3812500000000005,0.5517241379310345,0.274,0.8532451280339515
Ryan Hollingshead,24,25,6.975999999999999,0.8620689655172413,0.156,0.8551964512750763
Nathan Byrne,14,22,7.072727272727272,0.7586206896551724,0.179,0.8557481939580968
Daniel Edelman,75,21,7.109523809523809,0.7241379310344828,0.189,0.8566334578417631
Dante Vanzeir,13,20,7.154999999999999,0.6896551724137931,0.201,0.8571551271558214
Sergio Busquets,5,20,7.154999999999999,0.6896551724137931,0.201,0.8571551271558214
Obinna Nwobodo,5,18,7.2555555555555555,0.6206896551724138,0.231,0.8574598169554201
Keaton Parks,55,22,7.054545454545454,0.7586206896551724,0.175,0.8595865119128757
Hugo Lloris,1,24,6.970833333333334,0.8275862068965517,0.155,0.862410294495792
James Sands,6,19,7.173684210526316,0.6551724137931034,0.206,0.8656454610342936
Wilder Cartagena,16,23,6.98695652173913,0.7931034482758621,0.159,0.8660757375168403
Pavel Bucha,20,18,7.222222222222222,0.6206896551724138,0.221,0.8664394599123602
Lewis Morgan,9,20,7.12,0.6896551724137931,0.191,0.8664842249051695
Carlos Garces,25,17,7.276470588235294,0.5862068965517241,0.238,0.8671036457433192
Adilson Malanda,29,22,7.022727272727274,0.7586206896551724,0.167,0.8672675316547626
Dagur Dan Thorhallsson,17,22,7.0181818181818185,0.7586206896551724,0.166,0.8682280641988858
Hannes Wolf,17,22,7.013636363636365,0.7586206896551724,0.165,0.8691886857653778
Carles Gil,10,14,7.450000000000001,0.4827586206896552,0.301,0.8695629042633247
Matt Crooks,25,17,7.258823529411764,0.5862068965517241,0.232,0.8723810706688653
John McCarthy,77,23,6.956521739130435,0.7931034482758621,0.152,0.872874666326924
Maxime Chanot,25,25,6.892,0.8620689655172413,0.138,0.8729656180362912
Jamal Thiaré,29,20,7.085000000000001,0.6896551724137931,0.182,0.8748930860450964
Thiago Martins,13,21,7.019047619047619,0.7241379310344828,0.166,0.8784394578421075
Matt Freese,49,22,6.940909090909091,0.7586206896551724,0.148,0.8855325919821047
Petar Musa,9,17,7.205882352941177,0.5862068965517241,0.216,0.8864991440838258
Liel Abada,11,17,7.205882352941177,0.5862068965517241,0.216,0.8864991440838258
Pedro Santos,7,18,7.144444444444444,0.6206896551724138,0.198,0.8871754830320902
Kevin O'Toole,22,22,6.931818181818182,0.7586206896551724,0.146,0.8874570251356088
Sean Zawadzki,25,15,7.326666666666666,0.5172413793103449,0.255,0.8877391992303698
Cesar Araujo,5,21,6.976190476190476,0.7241379310344828,0.156,0.8879391201506642
Sebastian Lletget,8,16,7.2625,0.5517241379310345,0.233,0.8883919453223753
Wil Trapp,20,21,6.9714285714285715,0.7241379310344828,0.155,0.8888896900594222
Alex Muyl,19,15,7.319999999999999,0.5172413793103449,0.253,0.8894182850887306
Artur,6,20,7.019999999999999,0.6896551724137931,0.166,0.8898707276956088
Georgi Minoungou,93,18,7.133333333333334,0.6206896551724138,0.195,0.889888384963655
Pedro Vite,45,20,7.005,0.6896551724137931,0.163,0.8926829851685941
Martin Ojeda,11,23,6.856521739130434,0.7931034482758621,0.131,0.8932900890054355
Maxi Moralez,27,18,7.1111111111111125,0.6206896551724138,0.189,0.8953196846340541
Daniel Rios,19,21,6.938095238095237,0.7241379310344828,0.148,0.8955466939774474
Ashley Westwood,8,22,6.886363636363637,0.7586206896551724,0.137,0.8961210696454719
Luis Muriel,9,23,6.839130434782609,0.7931034482758621,0.128,0.896208783217024
Amine Bassi,8,18,7.105555555555555,0.6206896551724138,0.188,0.8962256064703922
Kerwin Vargas,18,22,6.881818181818181,0.7586206896551724,0.136,0.8970841495994367
Micael,31,17,7.1647058823529415,0.5862068965517241,0.204,0.897129161526564
Mohamed Farsi,23,18,7.094444444444445,0.6206896551724138,0.185,0.8989445687545046
Eduard Löwen,10,15,7.286666666666666,0.5172413793103449,0.241,0.8995203643332254
Marcelo Weigandt,57,16,7.21875,0.5517241379310345,0.22,0.8996395103115882
Stian Gregersen,5,22,6.863636363636363,0.7586206896551724,0.133,0.8999738726555035
Jared Stroud,8,20,6.965000000000001,0.6896551724137931,0.154,0.9011270232378521
Brandt Bronico,13,22,6.854545454545455,0.7586206896551724,0.131,0.9019007547743513
Mateusz Klich,43,18,7.077777777777778,0.6206896551724138,0.18,0.9034801257876249
Darlington Nagbe,6,17,7.135294117647058,0.5862068965517241,0.196,0.9042348878811056
Ajani Fortune,35,22,6.840909090909091,0.7586206896551724,0.128,0.9047916729626464
Hernan Lopez,23,16,7.19375,0.5517241379310345,0.212,0.9065843857654258
Ibrahim Aliyu,18,20,6.935,0.6896551724137931,0.147,0.9077019951556305
Marco Delgado,8,20,6.925,0.6896551724137931,0.145,0.9095817236562707
Franco Escobar,2,17,7.1117647058823525,0.5862068965517241,0.189,0.9104645695804727
Sang-Bin Jeong,11,23,6.734782608695651,0.7931034482758621,0.11,0.9137320083675186
Cameron Harper,17,20,6.899999999999999,0.6896551724137931,0.14,0.9142832777698127
Rodrigo Adrián Schlegel,15,24,6.683333333333333,0.8275862068965517,0.102,0.9144017257487644
Antony,11,15,7.226666666666668,0.5172413793103449,0.222,0.9156090245569767
Sean Nealis,15,21,6.828571428571429,0.7241379310344828,0.126,0.9165019809547253
Patrick Agyemang,33,23,6.717391304347826,0.7931034482758621,0.107,0.9166543422224863
Robin Jansson,6,24,6.666666666666665,0.8275862068965517,0.099,0.9173480888148832
Tristan Muyumba,8,23,6.695652173913044,0.7931034482758621,0.104,0.9195771762692564
Jack Elliott,3,16,7.137500000000001,0.5517241379310345,0.196,0.9205255284421363
Steve Clark,12,20,6.865,0.6896551724137931,0.133,0.9208707357764783
Evgen Cheberko,21,17,7.064705882352943,0.5862068965517241,0.177,0.921169763106321
Nicolás Lodeiro,14,25,6.58,0.8620689655172413,0.087,0.9233601519848493
Derrick Williams,3,23,6.656521739130435,0.7931034482758621,0.098,0.9254243259798928
Brad Guzan,1,22,6.704545454545454,0.7586206896551724,0.105,0.926978409383166
Lucas Bartlett,3,18,6.966666666666667,0.6206896551724138,0.154,0.9271420267106988
Eduard Atuesta,20,19,6.894736842105263,0.6551724137931034,0.139,0.9274842662866442
Pedro De la Vega,10,26,6.503846153846154,0.896551724137931,0.077,0.9287790618757696
Aaron Long,33,22,6.6909090909090905,0.7586206896551724,0.103,0.9289095604323085
Bongokuhle Hlongwane,21,23,6.630434782608695,0.7931034482758621,0.094,0.9293235083195405
Roman Celentano,18,17,7.017647058823529,0.5862068965517241,0.166,0.9310105973947641
Andrew Privett,34,21,6.733333333333333,0.7241379310344828,0.11,0.9317724406173086
Dayne St. Clair,97,22,6.6499999999999995,0.7586206896551724,0.097,0.934704750957512
Sebastian Berhalter,16,22,6.645454545454545,0.7586206896551724,0.096,0.9356708670587883
Oliver Larraz,18,17,6.9941176470588236,0.5862068965517241,0.16,0.9363891992442862
Logan Farrington,23,20,6.775,0.6896551724137931,0.116,0.9368937570554692
Rafael Navarro,9,17,6.988235294117648,0.5862068965517241,0.159,0.9372863663050667
Ranko Veselinovic,4,22,6.631818181818182,0.7586206896551724,0.094,0.937603312420847
Alexander Ring,8,20,6.765000000000001,0.6896551724137931,0.115,0.937837359039142
Pedro Amador,18,15,7.133333333333332,0.5172413793103449,0.195,0.9386590892598751
Yuya Kubo,7,18,6.894444444444445,0.6206896551724138,0.139,0.9408492640658345
Griffin Dorsey,25,19,6.815789473684211,0.6551724137931034,0.124,0.9414255489465296
Marco Reus,18,17,6.964705882352941,0.5862068965517241,0.154,0.9417753089040695
Dylan Chambost,7,14,7.192857142857143,0.4827586206896552,0.212,0.942593573323555
Jon Gallagher,17,18,6.883333333333334,0.6206896551724138,0.137,0.94267987020686
Alexandru Matan,20,16,7.031249999999999,0.5517241379310345,0.169,0.9441992631397644
Sebastien Ibeagha,25,19,6.794736842105263,0.6551724137931034,0.12,0.9451486995226067
Xande Silva,16,21,6.642857142857143,0.7241379310344828,0.096,0.9451538928100206
Brooks Lennon,11,16,7.0249999999999995,0.5517241379310345,0.167,0.9459599613692296
Alexandros Katranis,98,16,7.01875,0.5517241379310345,0.166,0.9468406669095251
Sebastian Driussi,10,19,6.7789473684210515,0.6551724137931034,0.117,0.947942542672959
Daniel Pereira,6,18,6.855555555555556,0.6206896551724138,0.131,0.9481757947201681
Brad Stuver,1,20,6.7,0.6896551724137931,0.104,0.9482246105272276
Marco Farfan,4,19,6.773684210526315,0.6551724137931034,0.116,0.9488741034559193
Cristian Olivera,13,17,6.929411764705883,0.5862068965517241,0.146,0.9489682462871746
Malte Amundsen,18,15,7.086666666666667,0.5172413793103449,0.183,0.9489704346554629
Duncan McGuire,13,22,6.527272727272727,0.7586206896551724,0.08,0.9511382504465608
Theodore Ku-DiPietro,21,17,6.899999999999999,0.5862068965517241,0.14,0.9543713807849413
