player_name,player_number,count,avg(spi_score),matches_scaled,spi_scaled
Ricard Puig,10,22,8.395454545454545,0.7586206896551724,0.976
Evander Ferreira,10,14,8.264285714285714,0.4827586206896552,0.961
Lionel Messi,10,16,8.112499999999999,0.5517241379310345,0.943
Marcel Hartel,17,16,8.00625,0.5517241379310345,0.931
Kelvin Yeboah,9,15,7.986666666666666,0.5172413793103449,0.929
Gabriel Pec,11,23,7.969565217391305,0.7931034482758621,0.927
Juan Hernández,9,20,7.92,0.6896551724137931,0.921
Emil Forsberg,10,15,7.793333333333333,0.5172413793103449,0.906
Albert Rusnak,11,26,7.7423076923076914,0.896551724137931,0.9
Cedric Teuchert,36,16,7.7375,0.5517241379310345,0.9
Luis Suárez,9,17,7.71764705882353,0.5862068965517241,0.897
Mateusz Bogusz,19,24,7.712500000000001,0.8275862068965517,0.897
Jordi Alba,18,19,7.694736842105263,0.6551724137931034,0.895
Daniel Gazdag,10,17,7.682352941176472,0.5862068965517241,0.893
Dejan Joveljic,9,21,7.66190476190476,0.7241379310344828,0.891
Christian Benteke,20,19,7.652631578947369,0.6551724137931034,0.89
Denis Bouanga,99,26,7.615384615384615,0.896551724137931,0.886
Carlos Miguel,31,20,7.614999999999999,0.6896551724137931,0.885
Facundo Torres,10,22,7.609090909090909,0.7586206896551724,0.885
Pep Biel,10,14,7.6000000000000005,0.4827586206896552,0.884
Hany Mukhtar,10,16,7.574999999999999,0.5517241379310345,0.881
Stefan Frei,24,28,7.567857142857143,0.9655172413793104,0.88
Luca Orellano,23,18,7.566666666666666,0.6206896551724138,0.88
Kai Wagner,27,18,7.544444444444443,0.6206896551724138,0.877
Joseph Paintsil,28,19,7.510526315789474,0.6551724137931034,0.873
Luciano Acosta,10,16,7.50625,0.5517241379310345,0.873
Ryan Gauld,25,19,7.494736842105263,0.6551724137931034,0.871
Eduard Löwen,10,18,7.48888888888889,0.6206896551724138,0.871
Jordan Morris,13,26,7.488461538461539,0.896551724137931,0.871
Cristian Roldan,7,28,7.460714285714286,0.9655172413793104,0.868
Carles Gil,10,14,7.45,0.4827586206896552,0.866
Braian Ojeda,6,19,7.436842105263157,0.6551724137931034,0.865
Yeimar Gomez,28,27,7.433333333333333,0.9310344827586207,0.864
Nouhou Tolo,5,22,7.413636363636363,0.7586206896551724,0.862
Diego Luna,8,18,7.405555555555556,0.6206896551724138,0.861
Karol Swiderski,9,15,7.386666666666668,0.5172413793103449,0.859
Jack McGlynn,16,15,7.386666666666667,0.5172413793103449,0.859
Kristijan Kahlina,1,22,7.368181818181819,0.7586206896551724,0.857
Obed Vargas,18,29,7.3517241379310345,1.0,0.855
Quinn Sullivan,33,18,7.3500000000000005,0.6206896551724138,0.855
Cristian Espinoza,10,17,7.347058823529412,0.5862068965517241,0.854
Saba Lobzhanidze,9,20,7.344999999999999,0.6896551724137931,0.854
Bartosz Slisz,6,22,7.331818181818184,0.7586206896551724,0.853
Dylan Nealis,12,20,7.33,0.6896551724137931,0.852
Sean Zawadzki,25,15,7.326666666666666,0.5172413793103449,0.852
Alex Muyl,19,15,7.319999999999999,0.5172413793103449,0.851
Jackson Ragen,25,29,7.317241379310344,1.0,0.851
Hassani Dotson,31,20,7.31,0.6896551724137931,0.85
Emeka Eneli,14,19,7.305263157894737,0.6551724137931034,0.849
Sergi Palencia,14,19,7.300000000000001,0.6551724137931034,0.849
Max Arfsten,27,21,7.29047619047619,0.7241379310344828,0.848
Ivan Angulo,77,24,7.2749999999999995,0.8275862068965517,0.846
John Tolkin,47,20,7.2700000000000005,0.6896551724137931,0.845
Sebastian Lletget,8,16,7.262500000000001,0.5517241379310345,0.844
Matt Crooks,25,17,7.258823529411765,0.5862068965517241,0.844
Obinna Nwobodo,5,18,7.255555555555556,0.6206896551724138,0.844
Joseph Rosales,8,23,7.247826086956524,0.7931034482758621,0.843
Aaron Herrera,22,19,7.242105263157896,0.6551724137931034,0.842
Alex Roldan,16,29,7.241379310344827,1.0,0.842
Paul Arriola,7,21,7.238095238095238,0.7241379310344828,0.842
Antony,11,15,7.226666666666668,0.5172413793103449,0.84
Miki Yamane,2,24,7.2250000000000005,0.8275862068965517,0.84
Pavel Bucha,20,18,7.222222222222222,0.6206896551724138,0.84
Marcelo Weigandt,57,16,7.21875,0.5517241379310345,0.839
Santiago Rodriguez,10,24,7.2124999999999995,0.8275862068965517,0.839
Liel Abada,11,16,7.2124999999999995,0.5517241379310345,0.839
Erik Sviatchenko,28,20,7.210000000000001,0.6896551724137931,0.838
Petar Musa,9,17,7.205882352941177,0.5862068965517241,0.838
Rafael Santos,3,24,7.204166666666667,0.8275862068965517,0.838
Jakob Glesnes,5,16,7.2,0.5517241379310345,0.837
Carlos Garces,25,16,7.1937500000000005,0.5517241379310345,0.836
Hernan Lopez,23,16,7.19375,0.5517241379310345,0.836
Dylan Chambost,7,14,7.192857142857143,0.4827586206896552,0.836
Lewis O'Brien,8,20,7.1899999999999995,0.6896551724137931,0.836
Paul Rothrock,14,22,7.181818181818182,0.7586206896551724,0.835
Micael,31,17,7.164705882352941,0.5862068965517241,0.833
Robin Lod,17,22,7.159090909090909,0.7586206896551724,0.832
Dante Vanzeir,13,20,7.155000000000001,0.6896551724137931,0.832
Sergio Busquets,5,20,7.154999999999999,0.6896551724137931,0.832
Ramiro Enrique,7,21,7.147619047619049,0.7241379310344828,0.831
Pedro Santos,7,18,7.144444444444444,0.6206896551724138,0.831
Jack Elliott,3,16,7.137500000000001,0.5517241379310345,0.83
Zac MacMath,18,14,7.135714285714285,0.4827586206896552,0.83
Darlington Nagbe,6,17,7.1352941176470575,0.5862068965517241,0.83
Georgi Minoungou,93,18,7.133333333333334,0.6206896551724138,0.829
Pedro Amador,18,15,7.133333333333334,0.5172413793103449,0.829
Timothy Tillman,11,26,7.123076923076923,0.896551724137931,0.828
Lewis Morgan,9,20,7.12,0.6896551724137931,0.828
Franco Escobar,2,17,7.111764705882353,0.5862068965517241,0.827
Daniel Edelman,75,21,7.109523809523809,0.7241379310344828,0.827
Diego Rossi,10,22,7.109090909090909,0.7586206896551724,0.827
Martin Rodriguez,14,14,7.107142857142857,0.4827586206896552,0.826
Amine Bassi,8,18,7.105555555555554,0.6206896551724138,0.826
Maya Yoshida,4,24,7.099999999999999,0.8275862068965517,0.826
Mohamed Farsi,23,18,7.094444444444445,0.6206896551724138,0.825
Malte Amundsen,18,15,7.086666666666667,0.5172413793103449,0.824
Jamal Thiaré,29,20,7.085000000000001,0.6896551724137931,0.824
Mateusz Klich,43,18,7.077777777777778,0.6206896551724138,0.823
Evgen Cheberko,21,17,7.064705882352941,0.5862068965517241,0.821
John Nelson,14,22,7.0636363636363635,0.7586206896551724,0.821
Pedro Gallese,1,22,7.0636363636363635,0.7586206896551724,0.821
Nathan Byrne,14,21,7.061904761904763,0.7241379310344828,0.821
Jonathan Rodriguez,14,14,7.057142857142858,0.4827586206896552,0.821
Maxi Moralez,27,20,7.05,0.6896551724137931,0.82
Alexandru Matan,20,16,7.03125,0.5517241379310345,0.818
Brooks Lennon,11,16,7.025,0.5517241379310345,0.817
Adilson Malanda,29,21,7.023809523809524,0.7241379310344828,0.817
Edwin Cerrillo,20,24,7.020833333333333,0.8275862068965517,0.816
Artur,6,20,7.019999999999999,0.6896551724137931,0.816
Alexandros Katranis,98,16,7.018750000000001,0.5517241379310345,0.816
Roman Celentano,18,17,7.017647058823529,0.5862068965517241,0.816
Wil Trapp,20,20,7.010000000000001,0.6896551724137931,0.815
Dagur Dan Thorhallsson,17,21,7.00952380952381,0.7241379310344828,0.815
Miles Robinson,12,14,7.007142857142858,0.4827586206896552,0.815
Pedro Vite,45,20,7.005,0.6896551724137931,0.815
Jeremy Ebobisse,11,15,7.0,0.5172413793103449,0.814
Wilder Cartagena,16,22,6.995454545454544,0.7586206896551724,0.813
Oliver Larraz,18,17,6.994117647058824,0.5862068965517241,0.813
Cesar Araujo,5,20,6.99,0.6896551724137931,0.813
Rafael Navarro,9,17,6.988235294117647,0.5862068965517241,0.813
Felipe Mora,9,14,6.985714285714287,0.4827586206896552,0.812
Djordje Mihailovic,10,15,6.980000000000001,0.5172413793103449,0.812
James Sands,6,21,6.976190476190476,0.7241379310344828,0.811
Ryan Hollingshead,24,25,6.975999999999999,0.8620689655172413,0.811
Tim Ream,3,14,6.971428571428572,0.4827586206896552,0.811
Hugo Lloris,1,24,6.970833333333332,0.8275862068965517,0.811
Lucas Bartlett,3,18,6.966666666666666,0.6206896551724138,0.81
Keaton Parks,55,24,6.966666666666666,0.8275862068965517,0.81
Jared Stroud,8,20,6.965000000000001,0.6896551724137931,0.81
Hannes Wolf,17,24,6.962500000000001,0.8275862068965517,0.81
Marco Delgado,8,19,6.9526315789473685,0.6551724137931034,0.808
John McCarthy,77,22,6.945454545454544,0.7586206896551724,0.808
