player_name,player_number,spi_score
Nelson Palacio,13,6.3
Braian Ojeda,6,6.9
Andrew Brody,2,6.5
Brayan Vera,4,6.6
Justen Glad,15,6.5
Emeka Eneli,14,6.8
Zac MacMath,18,5.9
David Ruiz,41,6.3
Jean Mota,7,6.0
Noah Allen,32,6.1
Anderson Julio,29,6.1
Fidel Barajas,17,6.1
Noel Caliskan,92,6.3
Dayne St. Clair,97,7.5
Carlos Harvey,67,7.5
Michael Boxall,15,7.2
Jefferson Diaz,28,7.5
Joseph Rosales,8,7.6
Hassani Dotson,31,8.3
Robin Lod,17,7.8
Wil Trapp,20,7.0
Bongokuhle Hlongwane,21,7.3
Kelvin Yeboah,9,9.0
Joaquin Pereyra,26,7.3
Rafael Navarro,9,6.5
Omir Fernandez,11,6.0
Djordje Mihailovic,10,6.6
Darren Yapi,77,6.5
Connor Ronan,20,6.3
Oliver Larraz,18,6.7
Reggie Cannon,4,5.8
Andreas Maxsø,5,5.8
Lalas Abubakar,6,6.4
Keegan Rosenberry,2,5.7
Zack Steffen,95,5.5
Sang-Bin Jeong,11,7.5
Franco Fragapane,7,6.0
Tani Oluwaseyi,14,6.1
Calvin Harris,14,6.6
Jackson Travis,99,6.2
Jasper Löffelsend,21,6.4
Jonathan Lewis,7,5.9
Brad Guzan,1,5.4
Brooks Lennon,11,6.5
Stian Gregersen,5,6.1
Derrick Williams,3,6.3
Pedro Amador,18,5.9
Ajani Fortune,35,7.0
Bartosz Slisz,6,6.3
Saba Lobzhanidze,9,7.0
Aleksey Miranchuk,59,6.7
Xande Silva,16,5.8
Daniel Rios,19,6.5
Sam Surridge,9,7.5
Teal Bunbury,12,8.2
Hany Mukhtar,10,8.5
Alex Muyl,19,7.8
Anibal Godoy,20,7.4
Brian Anunga,27,7.7
Daniel Lovitz,2,7.4
Jack Maher,5,7.2
Walker Zimmerman,25,7.5
Shaq Moore,18,7.3
Joe Willis,1,8.1
Edwin Mosquera,20,6.5
Dax McCarty,13,5.8
Tristan Muyumba,8,6.3
Jamal Thiaré,29,6.1
Forster Ajago,21,6.3
Brad Guzan,1,6.1
Brooks Lennon,11,7.5
Noah Cobb,24,5.9
Luis Abram,4,5.8
Caleb Wiley,26,7.3
Bartosz Slisz,6,7.1
Tristan Muyumba,8,5.9
Edwin Mosquera,20,6.1
Thiago Almada,10,8.0
Saba Lobzhanidze,9,6.9
Georgios Giakoumakis,7,7.1
Tani Oluwaseyi,14,7.8
Sang-Bin Jeong,11,7.2
Joseph Rosales,8,7.7
Wil Trapp,20,7.3
Robin Lod,17,7.0
Devin Padelford,2,6.6
D.J. Taylor,27,7.6
Miguel Tapias,4,7.4
Michael Boxall,15,6.7
Kervin Arriaga,33,8.4
Dayne St. Clair,97,6.7
Daniel Rios,19,7.5
Tyler Wolff,28,6.2
Stian Gregersen,5,6.4
Carlos Harvey,67,6.7
Bongokuhle Hlongwane,21,6.1
Teemu Pukki,22,6.1
Caden Clark,37,6.1
Roman Bürki,1,8.2
Tomas Totland,14,6.5
Michael Wentzel,40,6.8
Tim Parker,26,7.3
Jayden Reid,99,6.9
Indiana Vassilev,19,7.2
Christopher Durkin,8,7.1
Eduard Löwen,10,8.1
Nökkvi Thorisson,29,5.9
Hosei Kijima,85,6.5
Joao Klauss,9,8.0
Xande Silva,16,6.3
Daniel Rios,19,7.5
Jamal Thiaré,29,6.9
Caleb Wiley,26,6.8
Tristan Muyumba,8,7.3
Ajani Fortune,35,8.1
Brooks Lennon,11,7.0
Noah Cobb,24,7.3
Derrick Williams,3,7.8
Efrain Morales,21,6.6
Brad Guzan,1,7.1
Akil Watts,20,6.1
Johnny Klein,41,6.2
Caden Glover,46,6.2
Stian Gregersen,5,7.0
Dax McCarty,13,6.2
Aljaz Ivacic,31,5.5
Nick Lima,12,6.9
Xavier Arreaga,3,6.5
David Romney,2,6.6
Peyton Miller,25,7.6
Matt Polster,8,6.3
Mark-Anthony Kaye,28,5.7
Esmir Bajraktarevic,47,7.7
Carles Gil,10,8.4
Luca Langoni,41,6.5
Bobby Wood,17,7.2
Matias Coccaro,9,6.8
Jules-Anthony Vilsaint,28,6.8
Kwadwo Opoku,7,7.0
Nathan Saliba,19,7.9
Samuel Piette,6,7.2
Tom Pearce,46,7.8
Dawid Bugaj,27,6.6
Fernando Álvarez,4,6.2
Gabriele Corbo,25,7.0
George Campbell,24,7.2
Jonathan Sirois,40,6.0
Alhassan Yusuf,80,7.1
Emmanuel Boateng,18,6.0
Giacomo Vrioni,9,6.2
Jahkeele Marshall-Rutty,11,6.6
Caden Clark,23,6.8
Dominik Yankov,8,6.2
Raheem Edwards,44,6.0
Brad Stuver,1,7.5
Jon Gallagher,17,6.7
Julio Cascante,18,7.8
Brendan Hines-Ike,4,5.1
Guilherme,29,6.7
Daniel Pereira,6,6.2
Alexander Ring,8,6.6
Owen Wolff,33,6.1
Sebastian Driussi,10,7.3
Jader Obrian,11,5.7
Gyasi Zardes,9,5.3
Danny Musovski,17,6.1
Leo Chu,23,6.8
Pedro De la Vega,10,6.0
Paul Rothrock,14,7.7
Joao Paulo,6,7.8
Obed Vargas,18,7.8
Nouhou Tolo,5,7.3
Jackson Ragen,25,7.0
Yeimar Gomez,28,7.5
Alex Roldan,16,7.4
Stefan Frei,24,8.1
Jhojan Valencia,5,6.2
Diego Rubio,14,6.4
Albert Rusnak,11,6.8
Jordan Morris,13,7.5
Reed Baker-Whiting,21,6.2
Tyler Miller,1,5.3
Aaron Herrera,22,5.6
Garrison Tubbs,16,6.7
Lucas Bartlett,3,5.7
Cristian Dajome,11,6.3
Theodore Ku-DiPietro,21,7.0
Matti Peltola,4,6.7
Mateusz Klich,43,6.5
Martin Rodriguez,14,7.4
Jacob Murrell,17,5.9
Christian Benteke,20,7.1
Carlos Ferreira,11,9.7
Ibrahim Aliyu,18,6.7
Amine Bassi,8,7.5
Latif Blessing,15,6.9
Héctor Herrera,16,8.2
Artur,6,6.9
Daniel Steres,5,7.2
Micael,31,8.0
Erik Sviatchenko,28,7.4
Griffin Dorsey,25,7.0
Steve Clark,12,7.4
Matai Akinmboni,45,4.8
Gabriel Pirani,10,6.5
Jared Stroud,8,6.0
Brooklyn Raines,35,6.3
Sebastian Kowalczyk,27,6.2
Brad Stuver,1,6.7
Mikkel Desler,3,6.6
Julio Cascante,18,7.0
Brendan Hines-Ike,4,6.6
Guilherme Biro,29,6.5
Alexander Ring,8,7.0
Jhojan Valencia,5,6.1
Osman Bukari,7,6.6
Sebastian Driussi,10,6.8
Jon Gallagher,17,7.1
Gyasi Zardes,9,5.9
Ezequiel Ponce,10,6.6
Ibrahim Aliyu,18,6.9
Amine Bassi,8,6.9
Sebastian Kowalczyk,27,6.7
Artur,6,7.1
Adalberto Carrasquilla,20,8.6
Franco Escobar,2,7.5
Micael,31,7.5
Erik Sviatchenko,28,8.2
Griffin Dorsey,25,6.8
Steve Clark,12,8.3
Oleksandr Svatok,21,6.1
Daniel Pereira,6,7.0
Owen Wolff,33,6.8
Jader Obrian,11,6.9
Diego Rubio,14,6.5
Latif Blessing,15,6.5
Daniel Steres,5,6.4
McKinze Gaines,14,6.0
Pedro Gallese,1,7.0
Dagur Dan Thorhallsson,17,6.7
Rodrigo Adrián Schlegel,15,6.1
Robin Jansson,6,6.3
Rafael Santos,3,6.2
Cesar Araujo,5,6.7
Wilder Cartagena,16,6.2
Facundo Torres,10,6.5
Martin Ojeda,11,6.5
Ivan Angulo,77,6.4
Ramiro Enrique,7,6.5
Lewis Morgan,9,7.2
Dante Vanzeir,13,7.2
Emil Forsberg,10,7.6
Peter Stroud,5,7.1
Daniel Edelman,75,7.0
John Tolkin,47,7.7
Cameron Harper,17,7.6
Sean Nealis,15,7.4
Andres Reyes,4,7.7
Dylan Nealis,12,7.6
Carlos Miguel,31,8.1
Duncan McGuire,13,6.2
Luis Muriel,9,6.8
