player_name,player_number,spi_score
Simon Becher,11,5.9
Drake Callender,1,7.8
Marcelo Weigandt,57,7.8
Tomas Aviles,6,7.2
Nicolas Freire,21,7.5
Jordi Alba,18,8.0
Julian Gressel,24,6.6
Sergio Busquets,5,8.2
Benjamin Cremaschi,30,6.7
Lionel Messi,10,6.3
Luis Suárez,9,7.2
Matias Rojas,7,7.0
Theodore Ku-DiPietro,21,7.4
Christian Benteke,20,5.8
Mateusz Klich,43,7.1
Jackson Hopkins,25,6.7
Jared Stroud,8,7.3
Pedro Santos,7,7.2
Aaron Herrera,22,6.7
Lucas Bartlett,3,6.6
Steven Birnbaum,15,6.5
Christopher McVey,97,6.5
Alex Bono,24,5.9
Robert Taylor,16,6.4
Serhiy Kryvtsov,27,6.3
Matti Peltola,4,6.9
Cristian Dajome,11,6.1
Garrison Tubbs,16,6.4
Jacob Murrell,17,6.1
Drake Callender,1,7.8
Marcelo Weigandt,57,7.8
Tomas Aviles,6,7.2
Nicolas Freire,21,7.5
Jordi Alba,18,8.0
Julian Gressel,24,6.6
Sergio Busquets,5,8.2
Benjamin Cremaschi,30,6.7
Lionel Messi,10,6.3
Luis Suárez,9,7.2
Matias Rojas,7,7.0
Theodore Ku-DiPietro,21,7.4
Christian Benteke,20,5.8
Mateusz Klich,43,7.1
Jackson Hopkins,25,6.7
Jared Stroud,8,7.3
Pedro Santos,7,7.2
Aaron Herrera,22,6.7
Lucas Bartlett,3,6.6
Steven Birnbaum,15,6.5
Christopher McVey,97,6.5
Alex Bono,24,5.9
Robert Taylor,16,6.4
Serhiy Kryvtsov,27,6.3
Matti Peltola,4,6.9
Cristian Dajome,11,6.1
Garrison Tubbs,16,6.4
Jacob Murrell,17,6.1
Yohei Takaoka,1,7.8
Bjørn Inge Utvik,15,7.0
Ranko Veselinovic,4,7.2
Tristan Blackmon,6,7.9
Ali Ahmed,22,7.0
Pedro Vite,45,8.3
Ralph Priso-Mbongue,13,6.6
Alessandro Schöpf,8,7.1
Sam Adekugbe,3,7.1
Fabrice Picault,11,8.6
Ryan Gauld,25,9.1
Hernan Lopez,23,5.8
Preston Judd,19,5.8
Cristian Espinoza,10,6.5
Paul Marie,3,6.3
Jackson Yueill,14,6.4
Niko Tsakiris,30,6.4
Benjamin Kikanovic,28,6.4
Tanner Beason,15,6.9
Rodrigues,26,6.5
Carlos Akapo,29,6.4
Daniel,42,8.4
Sebastian Berhalter,16,6.4
Mathias Laborda,2,7.0
Edier Ocampo,18,6.7
Vitor Costa,94,6.6
Ousseni Bouda,17,5.7
Alfredo Morales,6,6.2
Amahl Pellegrino,9,6.0
Roman Bürki,1,8.6
Tomas Totland,14,7.6
Henry Kessler,5,7.7
Joakim Nilsson,4,7.1
Jannes-Kilian Horn,38,7.3
Cedric Teuchert,36,7.4
Akil Watts,20,7.0
Eduard Löwen,10,6.8
Marcel Hartel,17,8.6
Simon Becher,11,8.8
Joao Klauss,9,6.9
Ezequiel Ponce,10,6.0
Ibrahim Aliyu,18,6.6
Sebastian Kowalczyk,27,6.6
Adalberto Carrasquilla,20,6.4
Artur,6,6.9
Brooklyn Raines,35,7.4
Franco Escobar,2,5.8
Ethan Bartlow,4,6.4
Erik Sviatchenko,28,5.4
Griffin Dorsey,25,5.7
Steve Clark,12,4.8
Nökkvi Thorisson,29,6.3
Rasmus Alm,21,6.2
McKinze Gaines,14,6.4
Carlos Ferreira,11,6.3
Latif Blessing,15,6.2
Roman Celentano,18,7.4
Nick Hagglund,4,7.3
Matt Miazga,21,5.0
Ian Murphy,32,6.9
Bret Halsey,15,6.9
Luca Orellano,23,7.8
Obinna Nwobodo,5,8.0
Pavel Bucha,20,7.7
Luciano Acosta,10,9.5
Yuya Kubo,7,7.7
Gerardo Valenzuela,22,6.2
Joao Klauss,9,6.1
Samuel Adeniran,16,6.4
Celio Pompeu,12,5.7
Hosei Kijima,85,5.8
Njabulo Blom,6,6.4
Aziel Jackson,25,6.6
Nikolas Dyhr,44,6.7
Joakim Nilsson,4,6.9
Kyle Hiebert,22,6.2
Akil Watts,20,7.1
Roman Bürki,1,7.0
Kevin Kelsy,19,6.5
Yamil Asad,27,6.5
Sergio Santos,17,7.5
Tim Parker,26,6.5
Tomas Ostrak,7,6.7
Christopher Durkin,8,6.2
Indiana Vassilev,19,6.3
Eduard Löwen,10,6.0
Brad Stuver,1,7.3
Hector Jimenez,16,6.5
Matt Hedges,2,6.7
Brendan Hines-Ike,4,6.9
Guilherme,29,6.7
Alexander Ring,8,7.7
Jhojan Valencia,5,6.8
Daniel Pereira,6,7.1
Jader Obrian,11,6.6
Gyasi Zardes,9,6.2
Osman Bukari,7,7.0
Karol Swiderski,9,8.4
Iuri Tavares,38,8.4
Brandt Bronico,13,6.5
Kerwin Vargas,18,6.2
Djibril Diani,28,7.4
Ashley Westwood,8,7.4
Jere Uronen,21,6.7
Andrew Privett,34,6.3
Adilson Malanda,29,6.7
Nathan Byrne,14,6.6
Kristijan Kahlina,1,5.8
Jon Gallagher,17,7.3
Mikkel Desler,3,6.6
Owen Wolff,33,6.8
Diego Rubio,14,6.9
Zan Kolmanic,23,6.1
Patrick Agyemang,33,6.3
Brecht Dejaeghere,10,6.4
Tyger Smalls,25,6.3
Hugo Lloris,1,7.8
Marlon,5,6.5
Maxime Chanot,25,7.8
Aaron Long,33,6.8
Sergi Palencia,14,7.5
Timothy Tillman,11,6.9
Lewis O'Brien,8,6.8
Ryan Hollingshead,24,7.4
Cristian Olivera,13,6.2
Mateusz Bogusz,19,8.2
Denis Bouanga,99,7.0
Fabrice Picault,11,6.0
Brian White,24,5.9
Ryan Gauld,25,7.4
Pedro Vite,45,6.2
Andrés Cubas,20,6.4
Stuart Armstrong,26,7.4
Sam Adekugbe,3,7.0
Ranko Veselinovic,4,6.3
Tristan Blackmon,6,6.7
Sebastian Berhalter,16,6.3
Yohei Takaoka,1,5.8
Eduard Atuesta,20,6.2
