player_name,player_number,count,avg(spi_score)
Oscar Ustari,19,2,8.6
Leo Afonso,73,1,8.5
Ricard Puig,10,22,8.395454545454545
Evander Ferreira,10,14,8.264285714285714
Elliot Panicco,30,4,8.2
Lionel Messi,10,16,8.112499999999999
Andrew Rick,76,2,8.1
Marcel Hartel,17,16,8.00625
Kelvin Yeboah,9,15,7.986666666666666
Gabriel Pec,11,23,7.969565217391305
Juan Hernández,9,20,7.92
Aidan Morris,8,3,7.866666666666667
Emil Forsberg,10,15,7.793333333333333
Albert Rusnak,11,26,7.7423076923076914
Cedric Teuchert,36,16,7.7375
Luis Suárez,9,17,7.71764705882353
Mateusz Bogusz,19,24,7.712500000000001
Celio Pompeu,12,4,7.7
Tomas Chancalay,5,2,7.7
Jordi Alba,18,19,7.694736842105263
Daniel Gazdag,10,17,7.682352941176472
Dejan Joveljic,9,21,7.66190476190476
Christian Benteke,20,19,7.652631578947369
Santiago Moreno,30,13,7.6461538461538465
Franco Negri,33,3,7.633333333333334
Tai Baribo,28,12,7.633333333333333
Denis Bouanga,99,26,7.615384615384615
Carlos Miguel,31,20,7.614999999999999
Facundo Torres,10,22,7.609090909090909
Pep Biel,10,14,7.6000000000000005
Thiago Almada,10,5,7.6
Hany Mukhtar,10,16,7.574999999999999
Jesus Murillo,3,7,7.571428571428571
Stefan Frei,24,28,7.567857142857143
Luca Orellano,23,18,7.566666666666666
Kai Wagner,27,18,7.544444444444443
Teenage Lingani Hadebe,16,7,7.542857142857144
Joseph Paintsil,28,19,7.510526315789474
Luciano Acosta,10,16,7.50625
Ian Fray,17,6,7.5
Nicolas Freire,21,2,7.5
Federico Bernardeschi,10,9,7.5
Julian Carranza,9,5,7.5
Ryan Gauld,25,19,7.494736842105263
Caden Clark,23,9,7.48888888888889
Eduard Löwen,10,18,7.48888888888889
Jordan Morris,13,26,7.488461538461539
Nathan Harriel,26,13,7.461538461538462
Erik Thommy,26,13,7.461538461538462
Cristian Roldan,7,28,7.460714285714286
Carles Gil,10,14,7.45
Julian Gaines,29,4,7.449999999999999
Adalberto Carrasquilla,20,13,7.446153846153847
Braian Ojeda,6,19,7.436842105263157
Joao Pedro,20,3,7.433333333333334
Yeimar Gomez,28,27,7.433333333333333
Bode Hidalgo,19,7,7.414285714285714
Nouhou Tolo,5,22,7.413636363636363
Diego Luna,8,18,7.405555555555556
Andres Gomez,11,5,7.4
Karol Swiderski,9,15,7.386666666666668
Jack McGlynn,16,15,7.386666666666667
Moise Bombito,64,4,7.375
Kristijan Kahlina,1,22,7.368181818181819
Henry Kessler,4,3,7.366666666666667
Asier Illarramendi,14,13,7.3538461538461535
Obed Vargas,18,29,7.3517241379310345
Quinn Sullivan,33,18,7.3500000000000005
Cristian Espinoza,10,17,7.347058823529412
Saba Lobzhanidze,9,20,7.344999999999999
Jonathan Osorio,21,8,7.3374999999999995
Jimmy Maurer,1,6,7.333333333333333
