player_name,player_number,count,avg(spi_score)
Oscar Ustari,19,2,8.6
Leo Afonso,73,1,8.5
Ricard Puig,10,23,8.382608695652175
Evander Ferreira,10,14,8.264285714285714
Elliot Panicco,30,4,8.2
Marcel Hartel,17,13,8.123076923076923
Lionel Messi,10,16,8.1125
Kelvin Yeboah,9,16,8.04375
Gabriel Pec,11,24,8.0125
Juan Hernández,9,20,7.919999999999999
Aidan Morris,8,3,7.866666666666667
Emil Forsberg,10,15,7.793333333333333
Albert Rusnak,11,26,7.742307692307692
Dejan Joveljic,9,22,7.736363636363635
Luis Suárez,9,17,7.717647058823529
Mateusz Bogusz,19,24,7.7124999999999995
Tomas Chancalay,5,2,7.7
Celio Pompeu,12,4,7.7
Jordi Alba,18,19,7.694736842105264
Christian Benteke,20,19,7.652631578947367
Santiago Moreno,30,13,7.6461538461538465
Franco Negri,33,3,7.633333333333333
Facundo Torres,10,23,7.6304347826086945
Denis Bouanga,99,26,7.615384615384615
Carlos Miguel,31,20,7.615
Joseph Paintsil,28,20,7.600000000000001
Thiago Almada,10,5,7.6
Hany Mukhtar,10,16,7.575
Daniel Gazdag,10,15,7.573333333333334
Jesus Murillo,3,7,7.571428571428571
Stefan Frei,24,28,7.567857142857142
Luca Orellano,23,18,7.566666666666667
Pep Biel,10,15,7.566666666666666
Teenage Lingani Hadebe,16,7,7.542857142857143
Kai Wagner,27,16,7.5249999999999995
Luciano Acosta,10,16,7.5062500000000005
Nicolas Freire,21,2,7.5
Tai Baribo,28,10,7.5
Ian Fray,17,6,7.5
Federico Bernardeschi,10,9,7.5
Julian Carranza,9,5,7.5
Ryan Gauld,25,19,7.494736842105262
Caden Clark,23,9,7.488888888888888
Jordan Morris,13,26,7.488461538461538
Erik Thommy,26,13,7.461538461538462
Cristian Roldan,7,28,7.460714285714287
Carles Gil,10,14,7.450000000000001
Julian Gaines,29,4,7.449999999999999
Adalberto Carrasquilla,20,13,7.446153846153847
Braian Ojeda,6,19,7.436842105263157
Nathan Harriel,26,11,7.436363636363635
Joao Pedro,20,3,7.433333333333334
Yeimar Gomez,28,27,7.433333333333333
Cedric Teuchert,36,13,7.423076923076923
Kristijan Kahlina,1,23,7.421739130434782
Quinn Sullivan,33,16,7.41875
Bode Hidalgo,19,7,7.4142857142857155
Nouhou Tolo,5,22,7.413636363636363
Diego Luna,8,18,7.405555555555556
Andres Gomez,11,5,7.4
Karol Swiderski,9,16,7.3812500000000005
Moise Bombito,64,4,7.375
Jack McGlynn,16,13,7.369230769230769
Henry Kessler,4,3,7.366666666666667
Asier Illarramendi,14,13,7.3538461538461535
Obed Vargas,18,29,7.351724137931036
Cristian Espinoza,10,17,7.3470588235294105
Saba Lobzhanidze,9,20,7.345000000000001
Jonathan Osorio,21,8,7.3375
Jimmy Maurer,1,6,7.333333333333333
Bartosz Slisz,6,22,7.331818181818182
Federico Redondo,55,13,7.3307692307692305
